"track","artist","uri","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","chorus_hit","sections","target","Decade"
"Jealous Kind Of Fella","Garland Green","spotify:track:1dtKN6wwlolkM8XZy2y9C1",0.417,0.62,3,-7.727,1,0.0403,0.49,0,0.0779,0.845,185.655,173533,3,32.94975,9,1,"1960"
"Initials B.B.","Serge Gainsbourg","spotify:track:5hjsmSnUefdUqzsDogisiX",0.498,0.505,3,-12.475,1,0.0337,0.018,0.107,0.176,0.797,101.801,213613,4,48.8251,10,0,"1960"
"Melody Twist","Lord Melody","spotify:track:6uk8tI6pwxxdVTNlNOJeJh",0.657,0.649,5,-13.392,1,0.038,0.846,4.42e-06,0.119,0.908,115.94,223960,4,37.22663,12,0,"1960"
"Mi Bomba Sonó","Celia Cruz","spotify:track:7aNjMJ05FvUXACPWZ7yJmv",0.59,0.545,7,-12.058,0,0.104,0.706,0.0246,0.061,0.967,105.592,157907,4,24.75484,8,0,"1960"
"Uravu Solla","P. Susheela","spotify:track:1rQ0clvgkzWr001POOPJWx",0.515,0.765,11,-3.515,0,0.124,0.857,0.000872,0.213,0.906,114.617,245600,4,21.79874,14,0,"1960"
"Beat n. 3","Ennio Morricone","spotify:track:32VBSoD2vcoIOiPEvAfFXU",0.697,0.673,0,-10.573,1,0.0266,0.714,0.919,0.122,0.778,112.117,167667,4,65.48604,7,0,"1960"
"Samba De Uma Nota So (One Note Samba)","Antônio Carlos Jobim","spotify:track:62eoocmGk59EMfuRcLBvUL",0.662,0.272,0,-18.883,1,0.0313,0.36,0.228,0.0963,0.591,143.507,134360,4,47.82155,7,0,"1960"
"Happy Days","Marv Johnson","spotify:track:0ecGwZA1ReAq4Mn3ZInaT4",0.72,0.624,5,-9.086,0,0.0473,0.795,0,0.488,0.887,119.999,160040,4,30.42891,8,1,"1960"
"Carolina - Remastered 2006","Caetano Veloso","spotify:track:15gNqKkZN9Mq9AvnRqWJKb",0.545,0.22,2,-15.079,0,0.0828,0.582,0.239,0.269,0.386,118.223,158413,4,47.08099,6,0,"1960"
"I Can Hear Music","The Beach Boys","spotify:track:1hcMfYTsRTC4hIKbfosxjz",0.511,0.603,2,-7.637,1,0.028,0.0385,1.67e-06,0.142,0.685,128.336,157293,4,43.36534,9,1,"1960"
"The Aftermath (From ""Stagecoach"")","Jerry Goldsmith","spotify:track:6Rt6SJijLoLxTYwGX73JMQ",0.491,0.0675,10,-17.096,1,0.0606,0.826,0.519,0.134,0.122,124.986,177387,4,35.90329,7,0,"1960"
"Ride Away","Roy Orbison","spotify:track:1nxSCulSg5AtmExqgHPPC0",0.52,0.411,9,-12.411,1,0.0315,0.786,0.0012,0.146,0.35,120.29,207573,4,37.54527,9,1,"1960"
"Caboclo Nordestino","Luiz Gonzaga","spotify:track:1IFkSZaIT1j6O4GO6N3Pqd",0.717,0.565,2,-8.606,0,0.0283,0.451,0,0.108,0.961,100.757,134507,4,49.41165,6,0,"1960"
"P.T. 109","Jimmy Dean","spotify:track:3vfNUZeVUiwWXwsEXjagqL",0.746,0.666,2,-10.408,1,0.146,0.543,0,0.0488,0.84,94.024,192427,4,78.59848,5,1,"1960"
